id,codigo_producto,referencia,descripcion,subtipo_anterior,subtipo_nuevo
2652,3.5926.000.0,LINEALUCE KIT CON CABLES DE ACERO Y PLACAS,KIT CON CABLES DE ACERO CON PEQUEÑAS PLACAS DE REFUERZO PARA APLICACIÓN EN FALSO TECHO - COLOR: INDETERMINADO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2653,3.5935.004.0,LIGHT UP CARCASA BL,CARCASA - COLOR: NEGRO DIMENSIONES: Ø262X261 MM,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2654,3.5937.004.0,WOODY ALETA DIRECCIONAL SIMPLE BL,ALETA DIRECCIONAL SIMPLE - COLOR: NEGRO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2655,3.5940.015.0,WOODY VISOR GR,VISERA - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2656,3.5943.078.0,WOODY REJILLA DE PROTECCION GR/ALL,REJILLA DE PROTECCIÓN - COLOR: GRIS / ALUMINIO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2657,3.5944.078.0,WOODY REJILLA DE PROTECCION GR/ALL,REJILLA DE PROTECCIÓN - COLOR: GRIS / ALUMINIO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2658,3.5945.078.0,WOODY REJILLA DE PROTECCION GR/ALL,REJILLA DE PROTECCIÓN - COLOR: GRIS / ALUMINIO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2659,3.5949.000.0,WOODY CABLE DE RETENCION DE ACCESORIOS,CABLE RETENEDOR DE ACCESORIOS - COLOR: INDETERMINADO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2660,3.5951.015.0,WOODY PLACA PARA ANCLAJE A SUELO GR,PLACA PARA ANCLAJE AL SUELO - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2661,3.5997.013.0,LIGHT UP CARCASA AC,CARCASA - COLOR: ACERO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2662,3.5998.013.0,LIGHT UP CARCASA AC,CARCASA - COLOR: ACERO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2663,3.6012.015.0,WOODY BRIDA PARA INSTALACION EN POSTE ø120 GR,BRIDA DE ALUMINIO PARA INSTALACIÓN EN POSTES Ø 120 MM - PARA 1 PROYECTOR MAXIWOODY Ø260-Ø315-Ø380 / IPRO □ 192MM - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2664,3.6013.015.0,WOODY BRIDA PARA INSTALACION EN POSTE ø120 GR,BRIDA DE ALUMINIO PARA INSTALACIÓN EN POSTES Ø 120 MM - PARA 2 PROYECTOR MAXIWOODY Ø260-Ø315-Ø380 / IPRO □ 192MM - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2665,3.6014.015.0,WOODY SOPORTE MULTIPLE,SOPORTE MÚLTIPLE PARA 2 PROYECTORES - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2666,3.6015.015.0,WOODY SOPORTE MULTIPLE,SOPORTE MÚLTIPLE PARA 3 PROYECTORES - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2667,3.6111.015.0,WOODY BRIDA PARA INSTALACION EN POSTE ø102 GR,BRIDA DE ALUMINIO PARA INSTALACIÓN EN POSTES Ø 102 MM - PARA 1 PROYECTOR MAXIWOODY Ø260-Ø315-Ø380 / IPRO □ 192MM - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2668,3.6112.015.0,WOODY BRIDA PARA INSTALACION EN POSTE ø102 GR,BRIDA DE ALUMINIO PARA INSTALACIÓN EN POSTES Ø 102 MM - PARA 2 PROYECTOR MAXIWOODY Ø260-Ø315-Ø380 / IPRO □ 192MM - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2669,3.6113.015.0,WOODY BRAZO SIMPLE L 400 GR,BRAZO SIMPLE L = 400 MM - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2670,3.6114.015.0,WOODY BRAZO SIMPLE L 795 GR,BRAZO SIMPLE L = 795 MM - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2671,3.6115.015.0,WOODY CONTRABRIDA GR,CONTRABRIDA - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
